title,count,comment_text,vote,reply,date
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Anciosa pro lançamento,2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Excelente! As referências ao Brasil principalmente o rio de janeiro com a skatista, escadaria Selaron, as várias referências ao subúrbio ficaram top",6,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Manoooo como ses consegue fazer isso tudoooo um jogo inteiro e incrível e fazer animações 
 me rrendpooo",1,0,10 months ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Muito top, vou jogar!",2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Q lance logo!!! amém,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,So pelo reconhecimento já merecem o like.,1,0,1 year ago (edited)
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Meu Deus até deu arrepio 
️
️
️
️ quero que lança logo!!",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Obrigado demais pela consideração de voces pelo brasil 
  agradeço demais 
 vai ser uma honra pra min jogar honor no lançamento",0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Tô muitoo animada pro lançamento já até deixei o pré registro tô doida pra quando pode abaixa vó joga muito,0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Obrigado por avisar nós honor of kings,o jogo AGR vai estourar MT,ainda mais com esse vídeo feito pra nós",3,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Tô pulando de alegria aqui!! Finalmente.,2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Descobri o jogo por conta do anúncio do YouTube, e fiquei pasma quando escutei o ""Eai Brasil"" me deu mais vontade de jogar e mais ansiedade ainda pro lançamento do jogo. Só vem que eu tô preparada.",3,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Quando ela falou EAI Brasil até arrepiou aqui. Vai ser muito lindo esse jogo. Joguei o período de teste e está incrível. Ótimos personagens. Ansioso estou pelo lançamento do servidor BR,2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Ansioso demais 
🇧🇷",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Obrigada hok amo vcs,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Caraca, o carinho que eles estão dando pro Brasil fez meu coração ficar quentinho, tô ansioso pro jogo ficar disponível pra baixar logo, participei da beta e adorei o MOBA.",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"CARAMBA,Que vídeo Lindo,Eu até Arrepiei aqui,Amei o Carinho de vcs ao fazer um vídeo para nossa Comunidade, Vocês são Tops",0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Sucesso tô muito ansioso,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Joguei na fase beta, e gostei pra caramba. Tô ansioso pelo lançamento",2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Só estou no aguardo slc que top,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Aguardo ansiosamente para o lançamento desse jogo,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Joguei o beta do game e me diverti muito, continuem assim!! Já fiz até o pré registro na Play Store. Gostei muito que o Honor of kings foi muito atencioso em cada detalhe para a nossa cultura brasileira. Estou ansioso para jogar quando lançar!!",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Um jogo que se importa com o Brasil me deixa muito feliz, Honor Of Kings vai ser com certeza o meu jogo mais jogado desse ano!! Só vem!!!",0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Brabo!! Ansioso pelo lançamento,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,maravilhoso! só vem,0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Estou no aguardo demais,0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Estou ansioso pelo lançamento, POR FAVOR LANCEM LOGO",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Só pela atenção ao nosso mercado vou fazer o pré registro,  Sensacional  essa atitude. tem meu apoio.",0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Me ganhou só por demonstrar interesse na comunidade brasileira. Estou esperando ansiosamente o lançamento!!!!,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Ameii 🇧🇷
Uma crande homenagem ao BR
Grande",3,2 replies,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Um vídeo exclusivo pros brs <3,1,0,1 year ago
